t,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,raw01,raw02,raw03,raw04,raw05,raw06,raw07,raw08,raw09,raw10,raw11,raw12,raw13,raw14,raw15,raw16,chan_1,chan_2,chan_3,chan_4,chan_5,det_class,det_conf,det_amp
0.6,-0.202378046034728,331.952012269348,-0.000609660548978741,0.690595544351553,30.0939660324242,48.8237486187564,-44.5448100395792,4.27893857917714,0.014184423921406,0.0433161482641357,42.2627089088403,0.994173615619847,0.110085255168155,0.0163405413940964,0.0432752125126674,400.054800761699,22.1565492960994,0.0548007616986297,41.3087224483338,38.2282628016106,44.5060379480654,0,0.426985419715948,-0.0436115991810103,345,20,0.862704672702261,0,20,0,0,7005.5721117034,6900,0.984930265505791,0.000374336098810213,-0.129145954089552,0.241998154470025,0.108871583480877,0.265171845175317,0.706710714293227,0,0,-0.00757616016331164,-17.317626953125,-7.45709228515625,-3.53912353515625,-18.17822265625,-9.65447998046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.62,-0.018727932674675,331.573666537297,-5.64819663462882e-05,0.247222884010946,30.2899820212412,46.7511790799275,-49.2719336525079,-2.52075457258045,0.00360504233791508,0.0399149519328945,42.5543702776137,0.994184533279454,0.109310743539065,0.00580957684012543,0.0307280801682199,400.069977717688,22.0605139362748,0.0699777176876069,41.1516991609775,38.1293607728897,44.3310645104925,0,0.429038640195846,-0.0425186876197319,345,20,0.862671182239412,0,20,0,0,7049.55704465073,6900,0.978784901845115,0.000373451177428485,-0.128840656212844,0.0151769559889772,-0.157023287356282,0.196015988816967,-0.443372660340606,0,0,-0.0061453636606762,-16.2996215820312,-13.1942749023438,1.2777099609375,-17.883544921875,-4.35931396484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.64,-0.035107309829251,331.549998095035,-0.000105888433210571,-0.0274691978318401,30.8937710187179,48.2039628846262,-48.3621548738819,-0.158191989255727,0.00363634436745398,0.0596488228433269,43.3955365039539,0.9944583062777,0.110665950573454,-0.000632995926420619,0.026763200447947,399.884603775365,22.0030827724127,-0.115396224634821,41.2160003711522,38.1163472970899,44.4421536926023,0,0.446045660850451,-0.0250915663522593,345,20,0.863071644419138,0,20,0,0,7188.71511566082,6900,0.959837730245862,0.000374094371883738,-0.129062558299893,-0.185373942322428,0.0643012101746336,0.603788997476709,-0.274692081842786,0,0,-0.0189471715992533,-13.6433715820312,-12.5615234375,-8.85003662109375,-16.886962890625,-4.7393798828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.66,-0.0125129431910646,331.621108550297,-3.77326499081008e-05,0.0652212880223754,29.9405008084222,46.2814177813684,-49.4935833177251,-3.21216553635669,0.00882427660028859,0.0312643401631205,42.0979813715646,0.994736852540985,0.102529411533339,0.00154927352565246,0.0297663877233663,400.059596208432,22.0693869325731,0.0595962084319126,41.2691938902095,38.1712963707172,44.4726248995112,0,0.426363226308438,-0.0450858166456101,345,20,0.862694784112964,0,20,0,0,6974.13909202623,6900,0.989369427387676,0.00037486082131255,-0.129326983352826,0.174992433066734,0.0531935190573876,-0.95327021029577,0.0926904858542155,0,0,0.0295316971418148,-16.2876586914062,-13.8472900390625,-2.86669921875,-19.4156494140625,-7.41650390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.68,0.0684976212666211,331.288309045524,0.000206761359807625,0.129569905493337,30.5709698205237,48.0730205613474,-44.9473684507836,3.12565211056382,0.0135462543952699,0.0528480754352872,42.9523935598934,0.994512598148748,0.107984549658153,0.00301659336662259,0.0261188140204807,399.995390997291,21.942716679918,-0.00460900270934417,41.1522265265044,38.1383563350081,44.3007389061508,0,0.427394801865717,-0.0446204297401435,345,20,0.862829146058893,0,20,0,0,7109.39317946351,6900,0.97054696875278,0.000370091715029996,-0.127681641685342,-0.0642052111412568,-0.116967363705143,0.630469012101539,0.0643486174709616,0,0,-0.0188224586348961,-17.6100463867188,-11.0083618164062,-5.514892578125,-16.466064453125,-9.043701171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.7,-0.0705370872770227,331.524162719022,-0.000212766052098608,0.334109024606875,30.167198200094,49.5266719425987,-46.6553324376616,2.87133950493704,0.00554692307733463,0.0453103952506826,42.4060328965537,0.994866689031223,0.102308214950928,0.00787880878699284,0.0274325162079609,399.863564885339,21.9435676212865,-0.136435114660571,41.3211147830899,38.2152463026581,44.5459724200374,0,0.446361419248021,-0.0248077747532072,345,20,0.863117836294566,0,20,0,0,7023.76829772495,6900,0.982378647404267,0.000374999817002619,-0.129374936865872,-0.131826111951227,0.168888256585497,-0.403771620429694,0.204539119113538,0,0,0.0118316786514862,-14.848388671875,-10.4649658203125,-8.9698486328125,-17.3214721679688,-7.46856689453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.72,33.8869333938173,331.504382891965,0.102221675316012,-0.87228395124181,30.4649901993096,48.6941734859397,-50.9085253861524,-2.21435190021276,0.00808865888204484,0.0600433257643222,42.7389695092175,0.993879191413085,0.112502838522104,-0.0204095690948675,0.0500758086243489,399.844604905718,23.4300515692756,-0.155395094282426,41.5880953183898,38.40717712966,45.0348426313131,0,0.416670835993449,-0.0521023971061064,345,20,0.86316876457363,0,20,0,0,7043.79276550204,6900,0.979585889266038,0.000386590254780828,-0.13337363789941,-0.0189599796218545,0.266980535299894,0.297791999215608,-1.20639297584869,0,0,-0.00279275813822832,-32.2789306640625,68.4144897460938,-50.6490478515625,-56.9551391601562,-11.1843872070312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0
0.74,33.9751537232547,331.248109737493,0.102567087100299,-0.926348544108098,30.3861303354888,45.3932942474033,-48.9647806474196,-3.57148640001633,0.010461705972863,0.0512252555696447,42.6249703460134,0.993187653324217,0.121750843045432,-0.0217325322830339,0.0144038921359653,400.305879060364,22.5225708419361,0.305879060363793,41.1630915935722,38.01426405346,44.3955205470688,0,0.408908379396985,-0.0603474254265439,345,20,0.862158837314985,0,20,0,0,7024.35420872371,6900,0.982296705856708,0.000368844234888144,-0.127251261036406,0.461274154646219,-0.425003724817557,-0.0788598638208171,-0.0540645928662877,0,0,0.00271081659066952,-33.0438842773438,69.1495361328125,-52.1280517578125,-58.731689453125,-14.8307495117188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.76,33.994162227978,331.166705685551,0.102649697703175,-0.653429722410716,30.5819528643706,47.8634894356994,-47.0434810537882,0.820008381911251,0.0148057643988498,0.0517517409094976,42.9523434231256,0.994394401183246,0.110190143219693,-0.0152129003992576,0.0250634289254763,399.83558284405,22.9081129286923,-0.164417155950446,41.1530810159384,37.9934468348617,44.6544035176589,0,0.392022682076948,-0.0771622494024554,345,20,0.863175656148144,0,20,0,0,7085.88612984256,6900,0.973766706600083,0.000372004558805372,-0.128341572787861,-0.470296216314239,-0.0100105776338566,0.195822528881813,0.272918821697382,0,0,-0.0085299992566249,-34.5121459960938,70.330078125,-51.6676635742188,-58.434326171875,-13.4597778320312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
0.78,34.0519286219081,331.191711157291,0.10281636730255,-0.73715390444259,29.6396699816724,44.3931741848533,-50.4175481385356,-6.02437395368234,0.00227289446118447,0.0377614582463549,41.5995903531486,0.993440447965043,0.116986048364397,-0.0177202202758421,0.0228150679322496,399.894904103795,23.0086697619603,-0.105095896204659,41.4249057194142,38.2844306903484,44.8399179782873,0,0.416907394724247,-0.052130364616617,345,20,0.86305149239832,0,20,0,0,6860.93855922391,6900,1.00569330863976,0.00037650373699627,-0.129893789263747,0.0593212597457864,0.271824703475808,-0.942282882698159,-0.0837241820318745,0,0,0.0319266020396776,-32.11669921875,68.598876953125,-51.1165771484375,-60.3653564453125,-15.3637084960938,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.100000001490116,0
